iter	Logloss
0	0.5978647757
1	0.5311275876
2	0.480590077
3	0.4361239432
4	0.4095802223
5	0.3948606802
6	0.3793287462
7	0.3680666109
8	0.3583537639
9	0.3514494107
10	0.345723248
11	0.3408795374
12	0.3332477001
13	0.3298115969
14	0.3266192377
15	0.3225501843
16	0.3194494662
17	0.317112946
18	0.3150063987
19	0.3133169156
20	0.309478455
21	0.3063405522
22	0.3035016751
23	0.3007660999
24	0.2986987698
25	0.2960143145
26	0.294386521
27	0.2931536446
28	0.2920632715
29	0.2903998667
30	0.2884448748
31	0.2867876302
32	0.2855659324
33	0.284282299
34	0.2828227634
35	0.2818478887
36	0.2811012274
37	0.2797359148
38	0.2785898041
39	0.2777808133
40	0.2768953703
41	0.2754346961
42	0.2743000849
43	0.2734560699
44	0.2718089785
45	0.2708908275
46	0.2699568744
47	0.2691989112
48	0.2681062564
49	0.2672885973
50	0.2663824701
51	0.2656414241
52	0.2646604845
53	0.2634998474
54	0.262624401
55	0.2618094994
56	0.2608946858
57	0.2593168053
58	0.2585232882
59	0.2579777361
60	0.256435464
61	0.2556188524
62	0.2546945766
63	0.2541006909
64	0.2532805693
65	0.2526622987
66	0.2518833474
67	0.2511784335
68	0.2504542976
69	0.2499458554
70	0.2490673429
71	0.2485175046
72	0.2479285676
73	0.2473245587
74	0.2469109715
75	0.246126073
76	0.2455083632
77	0.2450948015
78	0.2446784587
79	0.2441897595
80	0.24367578
81	0.2429954225
82	0.2422793274
83	0.2417239915
84	0.2411360305
85	0.2404454769
86	0.2399032498
87	0.2394662486
88	0.238960766
89	0.2384451026
90	0.238002388
91	0.237558761
92	0.2369270863
93	0.2362758963
94	0.2358857909
95	0.2353327728
96	0.2348004601
97	0.2341479405
98	0.2334640549
99	0.2330956556
100	0.2326968374
101	0.2323722512
102	0.2319274124
103	0.2311963627
104	0.2307145978
105	0.2302161908
106	0.2295732504
107	0.2291666362
108	0.228649642
109	0.2281559435
110	0.2275313752
111	0.2268475455
112	0.2263583145
113	0.225990831
114	0.2253448498
115	0.224874983
116	0.2242972607
117	0.2237195611
118	0.223024597
119	0.2224044075
120	0.2219492041
121	0.2213274588
122	0.2206722786
123	0.2201587845
124	0.2196990936
125	0.219072406
126	0.2187064753
127	0.2183004704
128	0.2179382211
129	0.2173004106
130	0.2168012218
131	0.2164724749
132	0.2159741351
133	0.2156144877
134	0.2151230003
135	0.2144408662
136	0.2139002038
137	0.2134686438
138	0.2130833032
139	0.2126100153
140	0.2123084069
141	0.2117171705
142	0.2113159721
143	0.2109280557
144	0.2103789032
145	0.2099233352
146	0.2095240766
147	0.209270921
148	0.2086037112
149	0.208176047
150	0.2078043796
151	0.2071648861
152	0.2067013277
153	0.206131531
154	0.2057607808
155	0.2054535857
156	0.2051362131
157	0.2048120921
158	0.2042195434
159	0.2037887149
160	0.2034253342
161	0.2030672957
162	0.2025022075
163	0.2020659286
164	0.2015552396
165	0.2009225869
166	0.2005375292
167	0.200148736
168	0.1997983328
169	0.1995806976
170	0.1993640308
171	0.1989317502
172	0.1986056282
173	0.1982522117
174	0.1977008163
175	0.1972862606
176	0.1967839844
177	0.1963018434
178	0.1958575747
179	0.1954112857
180	0.1950206992
181	0.194476623
182	0.1942169859
183	0.1939235563
184	0.1936252132
185	0.193273738
186	0.1928803801
187	0.1926474278
188	0.1922840411
189	0.1918920953
190	0.1915912121
191	0.1912870892
192	0.1908297765
193	0.190549732
194	0.1902166362
195	0.1897816288
196	0.1895358103
197	0.189267066
198	0.1888986315
199	0.1885060691
200	0.188237177
201	0.1878918429
202	0.1875824058
203	0.1872606239
204	0.1869503187
205	0.1865739313
206	0.1861881935
207	0.1859621187
208	0.1855329333
209	0.1852575358
210	0.184856762
211	0.1845944197
212	0.1842776216
213	0.1839365339
214	0.1834274433
215	0.1832083783
216	0.1827563853
217	0.1824367618
218	0.1821505017
219	0.181870159
220	0.181680345
221	0.1814575293
222	0.1811898204
223	0.1808328886
224	0.1805557278
225	0.1802592278
226	0.1799279574
227	0.1795819337
228	0.1792938637
229	0.1790055319
230	0.1787589006
231	0.1785035153
232	0.1782570715
233	0.1777708736
234	0.1774296269
235	0.1770720364
236	0.1767667502
237	0.1764721706
238	0.1761753942
239	0.1757762811
240	0.1754152401
241	0.1751116057
242	0.1748335108
243	0.1745637926
244	0.1742763156
245	0.1738853011
246	0.1735460247
247	0.173249775
248	0.1729591064
249	0.1725519699
250	0.1721498527
251	0.1718856309
252	0.1715910741
253	0.1714227135
