iter	Passed	Remaining
405	7463	10919
406	7481	10900
407	7499	10882
408	7518	10864
409	7537	10846
410	7555	10827
411	7573	10808
412	7591	10789
413	7608	10770
414	7626	10751
415	7644	10731
416	7663	10714
417	7681	10695
418	7697	10673
419	7715	10655
420	7733	10636
421	7752	10618
422	7771	10600
423	7789	10581
424	7807	10563
425	7824	10543
426	7842	10524
427	7863	10509
428	7881	10490
429	7899	10471
430	7918	10453
431	7935	10433
432	7954	10415
433	7973	10398
434	7992	10381
435	8010	10362
436	8027	10342
437	8047	10325
438	8067	10308
439	8086	10291
440	8104	10273
441	8124	10256
442	8142	10237
443	8159	10218
444	8177	10198
445	8194	10179
446	8212	10159
447	8230	10141
448	8248	10121
449	8267	10104
450	8285	10086
451	8303	10067
452	8322	10049
453	8341	10031
454	8358	10011
455	8376	9993
456	8396	9976
457	8414	9957
458	8433	9939
459	8452	9921
460	8469	9902
461	8487	9883
462	8506	9866
463	8523	9846
464	8540	9825
465	8559	9808
466	8577	9790
467	8596	9772
468	8614	9753
469	8634	9736
470	8653	9719
471	8672	9700
472	8690	9682
473	8708	9663
474	8727	9645
475	8744	9626
476	8762	9607
477	8781	9589
478	8798	9569
479	8816	9550
480	8834	9532
481	8852	9513
482	8870	9494
483	8888	9476
484	8907	9458
485	8927	9441
486	8944	9421
487	8963	9403
488	8979	9383
489	8998	9365
490	9017	9347
491	9035	9329
492	9053	9310
493	9072	9292
494	9089	9273
495	9107	9254
496	9125	9235
497	9143	9216
498	9161	9198
499	9179	9179
500	9197	9161
501	9216	9143
502	9235	9125
503	9255	9108
504	9274	9091
505	9292	9072
506	9311	9054
507	9329	9035
508	9350	9019
509	9369	9002
510	9388	8984
511	9407	8966
512	9428	8950
513	9447	8932
514	9466	8914
515	9486	8898
516	9505	8880
517	9523	8861
518	9539	8841
519	9558	8823
520	9579	8807
521	9598	8789
522	9617	8771
523	9636	8753
524	9655	8736
525	9673	8717
526	9691	8698
527	9711	8681
528	9730	8663
529	9749	8645
530	9768	8627
531	9787	8609
532	9805	8591
533	9824	8573
534	9842	8554
535	9860	8535
536	9879	8518
537	9896	8498
538	9916	8481
539	9934	8462
540	9952	8443
541	9970	8425
542	9989	8407
543	10009	8390
544	10027	8371
545	10045	8353
546	10064	8334
547	10082	8315
548	10099	8296
549	10118	8278
550	10137	8260
551	10155	8241
552	10174	8224
553	10192	8205
554	10210	8186
555	10229	8168
556	10247	8150
557	10266	8132
558	10286	8115
559	10304	8096
560	10321	8077
561	10341	8059
562	10360	8041
563	10380	8024
564	10398	8005
565	10416	7987
566	10435	7969
567	10456	7953
568	10475	7934
569	10493	7916
570	10512	7898
571	10529	7879
572	10548	7860
573	10565	7841
574	10583	7822
575	10602	7804
576	10622	7787
577	10642	7769
578	10660	7751
579	10680	7734
580	10699	7715
581	10717	7697
582	10735	7679
583	10753	7660
584	10770	7640
585	10788	7622
586	10807	7604
587	10826	7585
588	10844	7567
589	10863	7548
590	10882	7530
591	10899	7511
592	10917	7492
593	10935	7474
594	10953	7456
595	10972	7438
596	10990	7419
597	11009	7400
598	11027	7382
599	11045	7363
600	11064	7345
601	11083	7327
602	11103	7309
603	11119	7290
604	11139	7273
605	11157	7254
606	11176	7236
607	11195	7218
608	11215	7200
609	11233	7182
610	11252	7163
611	11271	7145
612	11288	7126
613	11306	7108
614	11324	7089
615	11345	7072
616	11362	7053
617	11381	7035
618	11398	7016
619	11417	6997
620	11434	6978
621	11451	6959
622	11469	6940
623	11487	6921
624	11504	6902
625	11522	6883
626	11542	6866
627	11561	6848
628	11580	6830
629	11598	6811
630	11616	6793
631	11635	6774
632	11653	6756
633	11672	6738
634	11691	6720
635	11710	6702
636	11728	6683
637	11745	6664
638	11764	6646
639	11783	6628
640	11801	6609
641	11820	6591
642	11839	6573
643	11859	6555
644	11877	6537
645	11896	6519
646	11915	6500
647	11933	6482
648	11952	6464
649	11973	6447
650	11991	6428
651	12009	6410
652	12027	6391
653	12045	6372
654	12064	6354
655	12081	6335
656	12101	6317
657	12121	6300
658	12139	6281
659	12158	6263
660	12175	6244
661	12193	6225
662	12211	6207
663	12230	6188
664	12249	6170
665	12267	6152
666	12286	6134
667	12303	6114
668	12322	6096
669	12340	6078
670	12361	6060
671	12379	6042
672	12396	6023
673	12414	6004
674	12432	5986
675	12450	5967
676	12467	5948
677	12486	5930
678	12505	5912
679	12524	5893
680	12541	5874
681	12558	5855
682	12575	5836
683	12593	5818
684	12612	5799
685	12629	5780
686	12649	5763
687	12667	5744
688	12685	5725
689	12703	5707
690	12720	5688
691	12738	5669
692	12758	5651
693	12779	5634
694	12798	5616
695	12815	5597
696	12835	5579
697	12853	5561
698	12871	5542
699	12891	5524
700	12909	5506
701	12926	5487
702	12946	5469
703	12966	5451
704	12986	5434
705	13004	5415
706	13023	5397
707	13043	5379
708	13062	5361
709	13080	5342
710	13097	5323
711	13116	5305
712	13135	5287
713	13153	5268
714	13171	5250
715	13190	5232
716	13208	5213
717	13227	5195
718	13248	5177
719	13268	5159
720	13285	5141
721	13304	5122
722	13323	5104
723	13341	5086
724	13359	5067
725	13377	5048
726	13395	5030
727	13413	5011
728	13432	4993
729	13452	4975
730	13469	4956
731	13488	4938
732	13506	4919
733	13523	4900
734	13541	4882
735	13559	4863
736	13576	4844
737	13595	4826
738	13615	4808
739	13633	4790
740	13651	4771
741	13669	4753
742	13689	4734
743	13706	4716
744	13726	4698
745	13747	4680
746	13765	4662
747	13783	4643
748	13801	4625
749	13821	4607
750	13839	4588
751	13856	4569
752	13874	4551
753	13894	4533
754	13912	4514
755	13932	4496
756	13949	4477
757	13968	4459
758	13986	4440
759	14003	4422
760	14021	4403
761	14040	4385
762	14058	4366
763	14077	4348
764	14095	4329
765	14112	4311
766	14131	4292
767	14149	4274
768	14167	4255
769	14184	4236
770	14202	4218
771	14221	4200
772	14240	4181
773	14260	4163
774	14279	4145
775	14297	4127
776	14315	4108
777	14332	4089
778	14351	4071
779	14370	4053
780	14388	4034
781	14406	4016
782	14425	3997
783	14443	3979
784	14462	3960
785	14481	3942
786	14499	3924
787	14520	3906
788	14539	3888
789	14559	3870
790	14576	3851
791	14594	3832
792	14613	3814
793	14631	3796
794	14649	3777
795	14669	3759
796	14686	3740
797	14705	3722
798	14724	3704
799	14743	3685
800	14761	3667
801	14778	3648
802	14795	3629
803	14814	3611
804	14833	3593
805	14851	3574
806	14869	3556
807	14888	3537
808	14904	3518
809	14923	3500
810	14940	3481
811	14957	3463
812	14976	3444
813	14995	3426
814	15014	3408
815	15031	3389
816	15050	3371
817	15070	3352
818	15087	3334
819	15105	3315
820	15125	3297
821	15143	3279
822	15162	3260
823	15181	3242
824	15197	3223
825	15215	3205
826	15233	3186
827	15252	3168
828	15271	3150
829	15289	3131
830	15307	3112
831	15325	3094
832	15342	3075
833	15360	3057
834	15379	3039
835	15397	3020
836	15415	3002
837	15434	2983
838	15453	2965
839	15472	2947
840	15490	2928
841	15507	2910
842	15527	2891
843	15544	2873
844	15564	2855
845	15583	2836
846	15602	2818
847	15620	2799
848	15639	2781
849	15659	2763
850	15678	2745
851	15696	2726
852	15715	2708
853	15733	2689
854	15751	2671
855	15770	2652
856	15788	2634
857	15807	2616
858	15825	2597
859	15843	2579
860	15862	2560
861	15880	2542
862	15898	2523
863	15916	2505
864	15934	2486
865	15951	2468
866	15969	2449
867	15988	2431
868	16008	2413
869	16026	2394
870	16045	2376
871	16064	2358
872	16083	2339
873	16102	2321
874	16120	2302
875	16138	2284
876	16155	2265
877	16173	2247
878	16191	2228
879	16209	2210
880	16227	2191
881	16246	2173
882	16265	2155
883	16281	2136
884	16300	2118
885	16318	2099
886	16336	2081
887	16355	2062
888	16372	2044
889	16390	2025
890	16409	2007
891	16429	1989
892	16447	1970
893	16466	1952
894	16484	1933
895	16502	1915
896	16521	1897
897	16539	1878
898	16557	1860
899	16578	1842
900	16597	1823
901	16615	1805
902	16632	1786
903	16650	1768
904	16668	1749
905	16687	1731
906	16705	1712
907	16724	1694
908	16742	1676
909	16761	1657
910	16782	1639
911	16800	1621
912	16817	1602
913	16837	1584
914	16856	1565
915	16874	1547
916	16894	1529
917	16914	1510
918	16932	1492
919	16953	1474
920	16972	1455
921	16989	1437
922	17007	1418
923	17026	1400
924	17044	1381
925	17062	1363
926	17081	1345
927	17100	1326
928	17118	1308
929	17138	1289
930	17158	1271
931	17176	1253
932	17196	1234
933	17212	1216
934	17232	1197
935	17249	1179
936	17269	1161
937	17287	1142
938	17305	1124
939	17324	1105
940	17344	1087
941	17361	1068
942	17380	1050
943	17399	1032
944	17418	1013
945	17437	995
946	17458	977
947	17476	958
948	17493	940
949	17510	921
950	17528	903
951	17547	884
952	17565	866
953	17582	847
954	17602	829
955	17620	811
956	17639	792
957	17657	774
958	17676	755
959	17695	737
960	17713	718
961	17731	700
962	17748	681
963	17767	663
964	17786	645
965	17803	626
966	17820	608
967	17839	589
968	17857	571
969	17875	552
970	17893	534
971	17911	515
972	17929	497
973	17947	479
974	17965	460
975	17983	442
976	18003	423
977	18021	405
978	18040	386
979	18058	368
980	18076	350
981	18092	331
982	18110	313
983	18129	294
984	18148	276
985	18168	257
986	18188	239
987	18205	221
988	18222	202
989	18241	184
990	18260	165
991	18278	147
992	18296	128
993	18315	110
994	18334	92
995	18353	73
996	18371	55
997	18389	36
998	18407	18
999	18426	0
